,Brand,Link,Page Number
117,Huawei,https://www.gsmarena.com/huawei-phones-f-58-0-p8.php,8
118,Huawei,https://www.gsmarena.com/huawei-phones-f-58-0-p9.php,9
119,Huawei,https://www.gsmarena.com/huawei-phones-f-58-0-p10.php,10
120,Huawei,https://www.gsmarena.com/huawei-phones-f-58-0-p11.php,11
121,i-mate,https://www.gsmarena.com/i_mate-phones-35.php,1
122,i-mobile,https://www.gsmarena.com/i_mobile-phones-52.php,1
123,Icemobile,https://www.gsmarena.com/icemobile-phones-69.php,1
124,Icemobile,https://www.gsmarena.com/icemobile-phones-f-69-0-p2.php,2
125,Infinix,https://www.gsmarena.com/infinix-phones-119.php,1
126,Infinix,https://www.gsmarena.com/infinix-phones-f-119-0-p2.php,2
127,Infinix,https://www.gsmarena.com/infinix-phones-f-119-0-p3.php,3
128,Infinix,https://www.gsmarena.com/infinix-phones-f-119-0-p4.php,4
129,Infinix,https://www.gsmarena.com/infinix-phones-f-119-0-p5.php,5
130,Innostream,https://www.gsmarena.com/innostream-phones-29.php,1
131,iNQ,https://www.gsmarena.com/inq-phones-60.php,1
132,Intex,https://www.gsmarena.com/intex-phones-102.php,1
133,itel,https://www.gsmarena.com/itel-phones-131.php,1
134,Jolla,https://www.gsmarena.com/jolla-phones-84.php,1
135,Karbonn,https://www.gsmarena.com/karbonn-phones-83.php,1
136,Karbonn,https://www.gsmarena.com/karbonn-phones-f-83-0-p2.php,2
137,Kyocera,https://www.gsmarena.com/kyocera-phones-17.php,1
138,Lava,https://www.gsmarena.com/lava-phones-94.php,1
139,Lava,https://www.gsmarena.com/lava-phones-f-94-0-p2.php,2
140,Lava,https://www.gsmarena.com/lava-phones-f-94-0-p3.php,3
141,Lava,https://www.gsmarena.com/lava-phones-f-94-0-p4.php,4
142,LeEco,https://www.gsmarena.com/leeco-phones-109.php,1
143,Lenovo,https://www.gsmarena.com/lenovo-phones-73.php,1
144,Lenovo,https://www.gsmarena.com/lenovo-phones-f-73-0-p2.php,2
145,Lenovo,https://www.gsmarena.com/lenovo-phones-f-73-0-p3.php,3
146,Lenovo,https://www.gsmarena.com/lenovo-phones-f-73-0-p4.php,4
147,Lenovo,https://www.gsmarena.com/lenovo-phones-f-73-0-p5.php,5
148,Lenovo,https://www.gsmarena.com/lenovo-phones-f-73-0-p6.php,6
149,LG,https://www.gsmarena.com/lg-phones-20.php,1
150,LG,https://www.gsmarena.com/lg-phones-f-20-0-p2.php,2
151,LG,https://www.gsmarena.com/lg-phones-f-20-0-p3.php,3
152,LG,https://www.gsmarena.com/lg-phones-f-20-0-p4.php,4
153,LG,https://www.gsmarena.com/lg-phones-f-20-0-p5.php,5
154,LG,https://www.gsmarena.com/lg-phones-f-20-0-p6.php,6
155,LG,https://www.gsmarena.com/lg-phones-f-20-0-p7.php,7
156,LG,https://www.gsmarena.com/lg-phones-f-20-0-p8.php,8
157,LG,https://www.gsmarena.com/lg-phones-f-20-0-p9.php,9
158,LG,https://www.gsmarena.com/lg-phones-f-20-0-p10.php,10
159,LG,https://www.gsmarena.com/lg-phones-f-20-0-p11.php,11
160,Maxon,https://www.gsmarena.com/maxon-phones-14.php,1
161,Maxon,https://www.gsmarena.com/maxon-phones-f-14-0-p2.php,2
162,Maxwest,https://www.gsmarena.com/maxwest-phones-87.php,1
163,Maxwest,https://www.gsmarena.com/maxwest-phones-f-87-0-p2.php,2
164,Meizu,https://www.gsmarena.com/meizu-phones-74.php,1
165,Meizu,https://www.gsmarena.com/meizu-phones-f-74-0-p2.php,2
166,Micromax,https://www.gsmarena.com/micromax-phones-66.php,1
167,Micromax,https://www.gsmarena.com/micromax-phones-f-66-0-p2.php,2
168,Micromax,https://www.gsmarena.com/micromax-phones-f-66-0-p3.php,3
169,Micromax,https://www.gsmarena.com/micromax-phones-f-66-0-p4.php,4
170,Micromax,https://www.gsmarena.com/micromax-phones-f-66-0-p5.php,5
171,Micromax,https://www.gsmarena.com/micromax-phones-f-66-0-p6.php,6
172,Micromax,https://www.gsmarena.com/micromax-phones-f-66-0-p7.php,7
173,Micromax,https://www.gsmarena.com/micromax-phones-f-66-0-p8.php,8
174,Microsoft,https://www.gsmarena.com/microsoft-phones-64.php,1
175,Mitac,https://www.gsmarena.com/mitac-phones-25.php,1
176,Mitsubishi,https://www.gsmarena.com/mitsubishi-phones-8.php,1
177,Mitsubishi,https://www.gsmarena.com/mitsubishi-phones-f-8-0-p2.php,2
178,Modu,https://www.gsmarena.com/modu-phones-63.php,1
179,Motorola,https://www.gsmarena.com/motorola-phones-4.php,1
180,Motorola,https://www.gsmarena.com/motorola-phones-f-4-0-p2.php,2
181,Motorola,https://www.gsmarena.com/motorola-phones-f-4-0-p3.php,3
182,Motorola,https://www.gsmarena.com/motorola-phones-f-4-0-p4.php,4
183,Motorola,https://www.gsmarena.com/motorola-phones-f-4-0-p5.php,5
184,Motorola,https://www.gsmarena.com/motorola-phones-f-4-0-p6.php,6
185,Motorola,https://www.gsmarena.com/motorola-phones-f-4-0-p7.php,7
186,Motorola,https://www.gsmarena.com/motorola-phones-f-4-0-p8.php,8
187,Motorola,https://www.gsmarena.com/motorola-phones-f-4-0-p9.php,9
188,Motorola,https://www.gsmarena.com/motorola-phones-f-4-0-p10.php,10
189,Motorola,https://www.gsmarena.com/motorola-phones-f-4-0-p11.php,11
190,Motorola,https://www.gsmarena.com/motorola-phones-f-4-0-p12.php,12
191,MWg,https://www.gsmarena.com/mwg-phones-56.php,1
192,NEC,https://www.gsmarena.com/nec-phones-12.php,1
193,NEC,https://www.gsmarena.com/nec-phones-f-12-0-p2.php,2
194,Neonode,https://www.gsmarena.com/neonode-phones-22.php,1
195,NIU,https://www.gsmarena.com/niu-phones-79.php,1
196,Nokia,https://www.gsmarena.com/nokia-phones-1.php,1
197,Nokia,https://www.gsmarena.com/nokia-phones-f-1-0-p2.php,2
198,Nokia,https://www.gsmarena.com/nokia-phones-f-1-0-p3.php,3
199,Nokia,https://www.gsmarena.com/nokia-phones-f-1-0-p4.php,4
200,Nokia,https://www.gsmarena.com/nokia-phones-f-1-0-p5.php,5
201,Nokia,https://www.gsmarena.com/nokia-phones-f-1-0-p6.php,6
202,Nokia,https://www.gsmarena.com/nokia-phones-f-1-0-p7.php,7
203,Nokia,https://www.gsmarena.com/nokia-phones-f-1-0-p8.php,8
204,Nokia,https://www.gsmarena.com/nokia-phones-f-1-0-p9.php,9
205,Nokia,https://www.gsmarena.com/nokia-phones-f-1-0-p10.php,10
206,Nokia,https://www.gsmarena.com/nokia-phones-f-1-0-p11.php,11
207,Nokia,https://www.gsmarena.com/nokia-phones-f-1-0-p12.php,12
208,Nokia,https://www.gsmarena.com/nokia-phones-f-1-0-p13.php,13
209,Nokia,https://www.gsmarena.com/nokia-phones-f-1-0-p14.php,14
210,Nokia,https://www.gsmarena.com/nokia-phones-f-1-0-p15.php,15
211,Nothing,https://www.gsmarena.com/nothing-phones-128.php,1
